game,gameLabel,genreLabel,esrbRatingLabel,pegiRatingLabel,year
http://www.wikidata.org/entity/Q124395880,Sonic X Shadow Generations,платформер,для всех старше 10 лет,PEGI 7,2025
http://www.wikidata.org/entity/Q124672125,Pokémon Legends: Z-A,компьютерная ролевая игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q76122450,Sayonara Wild Hearts,музыкальная компьютерная игра,для всех старше 10 лет,PEGI 12,2025
http://www.wikidata.org/entity/Q126405953,Sid Meier’s Civilization VII,пошаговая стратегия,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q61478103,Apex Legends,шутер от первого лица,Teen,PEGI 16,2025
http://www.wikidata.org/entity/Q61478103,Apex Legends,тактический шутер,Teen,PEGI 16,2025
http://www.wikidata.org/entity/Q61478103,Apex Legends,королевская битва,Teen,PEGI 16,2025
http://www.wikidata.org/entity/Q61478103,Apex Legends,геройский шутер,Teen,PEGI 16,2025
http://www.wikidata.org/entity/Q132146430,Worlds of Aria,приключенческая компьютерная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q132146430,Worlds of Aria,компьютерная ролевая игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q132806820,Neko Neko Travel Agency: Peachy Town Revitalization Project,визуальная новелла,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q133264078,Expelled!,визуальная новелла,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q133570166,Tamagotchi Plaza,приключенческая компьютерная игра,для всех старше 10 лет,PEGI 3,2025
